product_id,actual_price,discounted_price,Discount_percentage
B07JW9H4J1,1099.0,1044.0,
B098NS6PVG,349.0,332.0,
B096MSW6CT,1899.0,1804.0,
B08HDJ86NZ,699.0,664.0,
B08CF3B7N1,399.0,379.0,
B08Y1TFSP6,1000.0,950.0,
B08WRWPM22,499.0,474.0,
B08WRWPM22,299.0,284.0,
B008IFXQFU,999.0,949.0,
B082LZGK39,299.0,284.0,
B08CF3D7QR,339.0,,
B0789LZTCJ,799.0,759.0,
B07KSMBL2H,700.0,665.0,
B085DTN6R2,899.0,854.0,
B09KLVMZ3B,399.0,379.0,
,399.0,379.0,
B0B6F7LX4C,24999.0,23749.0,
B082LSVT4B,399.0,379.0,
B08WRBG3XW,499.0,474.0,
B08WRBG3XW,21990.0,20891.0,
B09C6HXFC1,1799.0,1709.0,
B085194JFL,499.0,474.0,
B09F6S8BT6,22900.0,21755.0,
B09NHVCHS9,199.0,189.0,
B0B1YVCJ2Y,19990.0,18991.0,
B01M4GGIVU,699.0,664.0,
B08B42LWKN,19999.0,18999.0,
B094JNXNPV,399.0,379.0,
B09W5XR9RT,1999.0,1899.0,
B077Z65HSD,999.0,949.0,
B00NH11PEY,750.0,713.0,
B09CMM3VGK,499.0,474.0,
B08QSC1XY8,1099.0,1044.0,
B008FWZGSG,599.0,569.0,
B0B4HJNPV4,999.0,949.0,
B08Y1SJVV5,667.0,633.0,
B07XLCFSSN,1900.0,1805.0,
B09RZS1NQT,999.0,949.0,
B0B3MMYHYW,45999.0,43699.0,
B09C6HWG18,1999.0,1899.0,
B00NH11KIK,695.0,660.0,
B09JPC82QC,34999.0,33249.0,
B07JW1Y6XV,1099.0,1044.0,
B07KRCW6LZ,1599.0,1519.0,
B09NJN8L25,199.0,189.0,
B07XJYYH7L,999.0,949.0,
B002PD61Y4,1208.0,1148.0,
B014I8SSD0,475.0,451.0,
B09L8DSSFH,999.0,949.0,
B07232M876,395.0,375.0,
B07P681N66,2199.0,2089.0,
B0711PVX6Z,500.0,475.0,
B082T6V3DT,2100.0,1995.0,
B07MKFNHKG,12999.0,12349.0,
B0BFWGBX61,349.0,332.0,
B01N90RZ4M,499.0,474.0,
B0088TKTY2,1399.0,1329.0,
B09Q5SWVBJ,21999.0,20899.0,
B0B4DT8MKT,1499.0,1424.0,
B08CDKQ8T6,349.0,332.0,
B07B275VN9,799.0,759.0,
B0B15CPR37,47900.0,45505.0,
B0994GFWBH,999.0,949.0,
B01GGKZ0V6,845.0,803.0,
B09F9YQQ7B,24999.0,23749.0,
B014I8SX4Y,1400.0,1330.0,
B09Q8HMKZX,699.0,664.0,
B0B9XN9S3W,14990.0,14241.0,
B07966M8XH,2999.0,2849.0,
B01GGKYKQM,700.0,665.0,
B0B86CDHL1,899.0,854.0,
B0B5ZF3NRK,599.0,569.0,
B09RFC46VP,42999.0,40849.0,
B08R69VDHT,499.0,474.0,
B09RWZRCP1,999.0,949.0,
B09CMP1SC8,499.0,474.0,
B09YLXYP7Y,399.0,379.0,
B09ZPM4C2C,30990.0,29441.0,
B0B2DJDCPX,499.0,474.0,
B0BCZCQTJX,3999.0,3799.0,
B07LGT55SJ,1099.0,1044.0,
B09NKZXMWJ,249.0,237.0,
B08QX1CC14,19125.0,18169.0,
B0974H97TJ,799.0,759.0,
B07GVGTSLN,1299.0,1234.0,
B09VCHLSJF,39999.0,37999.0,
